"province","step","Reads","MOTUs","Species"
"Southeast_Polynesia","before",7450199,2308,86
"Southeast_Polynesia","tenreads",7445477,370,75
"Southeast_Polynesia","PCR_blanks_chimeras",7445443,367,75
"Southeast_Polynesia","fishonly",7132341,306,74
"Southeast_Polynesia","readlength",7132341,306,74
"Southeast_Polynesia","PCR_all",6806780,195,61
"Southeast_Polynesia","LULU",6801947,186,61
"Southeast_Polynesia","LULU_family",6174191,153,61
"Tropical_Northwestern_Atlantic","before",27106054,7952,102
"Tropical_Northwestern_Atlantic","tenreads",27078315,827,79
"Tropical_Northwestern_Atlantic","PCR_blanks_chimeras",27073034,785,79
"Tropical_Northwestern_Atlantic","fishonly",24495949,634,76
"Tropical_Northwestern_Atlantic","readlength",24495509,633,76
"Tropical_Northwestern_Atlantic","PCR_all",22881429,402,65
"Tropical_Northwestern_Atlantic","LULU",22866586,361,65
"Tropical_Northwestern_Atlantic","LULU_family",17871554,228,65
"Tropical_Southwestern_Pacific","before",36064726,10614,218
"Tropical_Southwestern_Pacific","tenreads",36039813,1370,214
"Tropical_Southwestern_Pacific","PCR_blanks_chimeras",36039240,1352,214
"Tropical_Southwestern_Pacific","fishonly",32637229,1181,211
"Tropical_Southwestern_Pacific","readlength",32637157,1179,211
"Tropical_Southwestern_Pacific","PCR_all",31372335,873,189
"Tropical_Southwestern_Pacific","LULU",31368868,843,188
"Tropical_Southwestern_Pacific","LULU_family",23448388,626,188
"Western_Coral_Triangle","before",149448618,51069,293
"Western_Coral_Triangle","tenreads",149318822,3314,279
"Western_Coral_Triangle","PCR_blanks_chimeras",149306439,3022,279
"Western_Coral_Triangle","fishonly",119045200,2097,273
"Western_Coral_Triangle","readlength",119043095,2091,273
"Western_Coral_Triangle","PCR_all",113385473,1210,240
"Western_Coral_Triangle","LULU",113323213,1035,237
"Western_Coral_Triangle","LULU_family",96458866,787,237
"Western_Indian_Ocean","before",18253114,7011,106
"Western_Indian_Ocean","tenreads",18238400,702,104
"Western_Indian_Ocean","PCR_blanks_chimeras",18237518,670,104
"Western_Indian_Ocean","fishonly",15950485,543,101
"Western_Indian_Ocean","readlength",15950485,543,101
"Western_Indian_Ocean","PCR_all",14990737,349,86
"Western_Indian_Ocean","LULU",14989659,327,86
"Western_Indian_Ocean","LULU_family",13472419,264,86
