"","Var1","Freq","site"
"22","Labridae",15,"guadeloupe"
"29","Myctophidae",11,"guadeloupe"
"9","Carangidae",8,"guadeloupe"
"24","Lutjanidae",7,"guadeloupe"
"35","Pomacentridae",7,"guadeloupe"
"19","Gobiidae",6,"guadeloupe"
"37","Scombridae",6,"guadeloupe"
"12","Clupeidae",4,"guadeloupe"
"15","Engraulidae",4,"guadeloupe"
"16","Exocoetidae",4,"guadeloupe"
"21","Kyphosidae",4,"guadeloupe"
"39","Serranidae",4,"guadeloupe"
"6","Balistidae",3,"guadeloupe"
"28","Muraenidae",3,"guadeloupe"
"1","Acanthuridae",2,"guadeloupe"
"3","Apogonidae",2,"guadeloupe"
"14","Diodontidae",2,"guadeloupe"
"20","Holocentridae",2,"guadeloupe"
"26","Monacanthidae",2,"guadeloupe"
"27","Mullidae",2,"guadeloupe"
"33","Poeciliidae",2,"guadeloupe"
"42","Tetraodontidae",2,"guadeloupe"
"2","Albulidae",1,"guadeloupe"
"4","Atherinidae",1,"guadeloupe"
"5","Aulostomidae",1,"guadeloupe"
"7","Belonidae",1,"guadeloupe"
"8","Bramidae",1,"guadeloupe"
"10","Centrarchidae",1,"guadeloupe"
"11","Chaetodontidae",1,"guadeloupe"
"13","Coryphaenidae",1,"guadeloupe"
"17","Gempylidae",1,"guadeloupe"
"18","Ginglymostomatidae",1,"guadeloupe"
"23","Loricariidae",1,"guadeloupe"
"25","Malacanthidae",1,"guadeloupe"
"30","Myliobatidae",1,"guadeloupe"
"31","Nemichthyidae",1,"guadeloupe"
"32","Nomeidae",1,"guadeloupe"
"34","Pomacanthidae",1,"guadeloupe"
"36","Priacanthidae",1,"guadeloupe"
"38","Scorpaenidae",1,"guadeloupe"
"40","Sparidae",1,"guadeloupe"
"41","Sphyraenidae",1,"guadeloupe"
"261","Labridae",13,"providencia"
"411","Pomacentridae",12,"providencia"
"231","Gobiidae",8,"providencia"
"281","Lutjanidae",7,"providencia"
"341","Muraenidae",7,"providencia"
"310","Apogonidae",6,"providencia"
"71","Carangidae",6,"providencia"
"51","Balistidae",4,"providencia"
"81","Carcharhinidae",4,"providencia"
"111","Clupeidae",4,"providencia"
"50","Urotrygonidae",4,"providencia"
"151","Eleotridae",3,"providencia"
"211","Ginglymostomatidae",3,"providencia"
"251","Kyphosidae",3,"providencia"
"301","Monacanthidae",3,"providencia"
"321","Mugilidae",3,"providencia"
"351","Myctophidae",3,"providencia"
"44","Scombridae",3,"providencia"
"45","Serranidae",3,"providencia"
"110","Acanthuridae",2,"providencia"
"101","Chlopsidae",2,"providencia"
"141","Diodontidae",2,"providencia"
"171","Engraulidae",2,"providencia"
"221","Gobiesocidae",2,"providencia"
"241","Holocentridae",2,"providencia"
"331","Mullidae",2,"providencia"
"361","Myliobatidae",2,"providencia"
"381","Ophichthidae",2,"providencia"
"391","Poeciliidae",2,"providencia"
"401","Pomacanthidae",2,"providencia"
"48","Tetraodontidae",2,"providencia"
"49","Trichomycteridae",2,"providencia"
"210","Albulidae",1,"providencia"
"410","Aulostomidae",1,"providencia"
"61","Belonidae",1,"providencia"
"91","Chaetodontidae",1,"providencia"
"121","Congridae",1,"providencia"
"131","Cyprinidae",1,"providencia"
"161","Elopidae",1,"providencia"
"181","Exocoetidae",1,"providencia"
"191","Fistulariidae",1,"providencia"
"201","Gempylidae",1,"providencia"
"271","Loricariidae",1,"providencia"
"291","Megalopidae",1,"providencia"
"311","Moringuidae",1,"providencia"
"371","Narcinidae",1,"providencia"
"421","Rachycentridae",1,"providencia"
"43","Sciaenidae",1,"providencia"
"46","Sphyraenidae",1,"providencia"
"47","Syngnathidae",1,"providencia"
"372","Sciaenidae",17,"santa_marta"
"202","Gobiidae",13,"santa_marta"
"232","Labridae",13,"santa_marta"
"72","Carangidae",12,"santa_marta"
"162","Engraulidae",10,"santa_marta"
"252","Lutjanidae",7,"santa_marta"
"272","Mugilidae",7,"santa_marta"
"292","Muraenidae",7,"santa_marta"
"352","Pomacentridae",7,"santa_marta"
"122","Clupeidae",6,"santa_marta"
"142","Eleotridae",4,"santa_marta"
"302","Myctophidae",4,"santa_marta"
"312","Ariidae",3,"santa_marta"
"222","Kyphosidae",3,"santa_marta"
"262","Monacanthidae",3,"santa_marta"
"382","Scombridae",3,"santa_marta"
"212","Apogonidae",2,"santa_marta"
"132","Diodontidae",2,"santa_marta"
"152","Elopidae",2,"santa_marta"
"172","Exocoetidae",2,"santa_marta"
"213","Holocentridae",2,"santa_marta"
"332","Poeciliidae",2,"santa_marta"
"362","Pristigasteridae",2,"santa_marta"
"412","Sparidae",2,"santa_marta"
"451","Trichomycteridae",2,"santa_marta"
"112","Acanthuridae",1,"santa_marta"
"413","Aulostomidae",1,"santa_marta"
"52","Belonidae",1,"santa_marta"
"62","Blenniidae",1,"santa_marta"
"82","Centrarchidae",1,"santa_marta"
"92","Chaetodontidae",1,"santa_marta"
"102","Characidae",1,"santa_marta"
"113","Cichlidae",1,"santa_marta"
"182","Fistulariidae",1,"santa_marta"
"192","Gobiesocidae",1,"santa_marta"
"242","Loricariidae",1,"santa_marta"
"282","Mullidae",1,"santa_marta"
"313","Narcinidae",1,"santa_marta"
"322","Osphronemidae",1,"santa_marta"
"342","Pomacanthidae",1,"santa_marta"
"392","Scorpaenidae",1,"santa_marta"
"402","Serranidae",1,"santa_marta"
"422","Sphyraenidae",1,"santa_marta"
"431","Syngnathidae",1,"santa_marta"
"441","Trichiuridae",1,"santa_marta"
